lat, long, sent
41.53727776, -93.64148682, 0.0
43.2663871, -70.86568759, 0.509615384615
38.20740288, -75.68530703, -1.0
44.02592972, -88.54747457, 0.25
33.55153455, -117.68084572, -0.75
33.25974563, -111.64062995, 1.125
31.19768928, -92.338971, 1.514423076923
33.73272708, -117.83282379, -0.40625
42.4965248, -84.86249518, 0.0
38.3101952, -104.57904583, 2.0977564102560002
37.76888286, -122.41947413, 0.0
36.10887115, -115.17785334, 0.0
33.2082245, -97.16532583, 0.875
42.01374789, -93.65099685, 0.375
29.83336606, -95.74194289, 0.0
40.79117632, -74.25445596, 0.854166666667
41.35012449, -88.8633747, 0.5625
30.61699455, -96.34567151, 0.48284313725499994
42.3068863, -83.3310164, 0.75
34.066726, -118.376406, -0.875
37.6577311, -97.24362265, -1.425
35.87538326, -78.57489718, 0.25
33.19990596, -97.1310332, -0.25
41.18617186, -112.07087288, 0.025000000000000022
40.74071311, -74.00470416, 0.354166666667
33.42983569, -112.54813392, 0.0
32.61716311, -117.08162755, 0.535714285714
33.13323134, -97.07624216, 0.0
32.30557215, -86.2658333, 0.35
34.095623, -118.282104, -0.1875
33.20832842, -97.1504871, 0.723214285714
46.86038566, -96.7672426, 0.0
34.67752203, -118.16718777, 0.535714285714
33.20046369, -87.53398759, -0.3125
32.28452967, -106.74607543, 0.25
42.43140775, -71.05220121, 0.375
40.69167069, -80.31170327, 0.28571428571400004
33.77213818, -118.10963187, -0.235119047619
32.34883512, -96.65289159, -0.08333333333300003
42.02655631, -88.28560224, 0.0
33.5006076, -80.86066357, 0.791666666667
33.9459653, -118.03864836, -0.15833333333299998
47.00635174, -122.82454779, -0.5208333333319999
38.3689924, -93.7685466, 0.875
39.29249068, -88.13839775, -1.428571428571
49.28184099, -122.74994471, -1.103174603175
30.58759609, -96.34500691, 0.375
43.00118519, -76.12762704, 0.0
29.89649529, -81.34100678, 0.0
26.50789277, -81.91323037, 0.0
40.33631603, -74.55888078, -0.25
36.97062697, -120.04451618, -0.28125
40.57717066, -74.32007919, 0.0
36.13715751, -115.16404706, -0.375
28.3446777, -82.23174718, -0.5
36.2175774, -86.7533768, 0.0
32.60011545, -82.34674908, 0.375
42.05319716, -92.90949995, -0.25
37.691344, -122.1846676, 0.639423076923
40.57688851, -86.16545364, -0.3125
41.73144458, -72.70406579, 0.0
34.13131133, -117.35911746, 0.875
28.07445192, -82.41329569, -1.208333333333
40.69390746, -80.31412316, 0.25
40.70978937, -74.35287782, 0.0
39.35419679, -84.36525441, 0.9935897435900001
35.1842682, -94.6798644, -0.9285714285710001
32.2150552, -110.9757065, 0.0
40.62727435, -74.27559885, -0.125
33.57874644, -84.64462529, 0.375
34.25435532, -118.76061445, -0.8921568627450001
33.97602288, -118.35096727, 0.0
31.29727576, -89.31493892, -0.375
34.09403478, -118.36471643, 0.0
42.4665687, -75.06081828, 0.208333333333
40.49439364, -74.45575498, 0.0
42.8067833, -73.91983383, -0.875
40.0804778, -75.09183579, -0.319711538462
33.93069237, -118.31878935, -1.1875
34.0051807, -117.71887925, 0.0
36.19028151, -119.31453227, 0.0
37.78731, -122.420091, -0.25
49.27583213, -123.12271301, 0.25
48.1222342, -121.9223803, 0.291666666667
33.49683262, -112.20629208, 0.525
32.30453, -90.8689, 1.375
38.57684786, -121.50399989, 0.875
35.15670803, -80.72615144, 0.0
41.37517102, -83.63159597, 0.0
29.47506581, -98.39285111, 0.4875
33.99614309, -117.5013354, 0.25
36.2026721, -115.1744484, 0.25
40.744005, -89.5954777, -0.902777777778
34.00962065, -117.58606774, -0.208333333333
36.29045938, -115.27170662, -1.125
38.85187621, -104.81578156, 1.425
40.72992636, -111.85557353, 0.4375
29.78482809, -95.57293857, -0.375
30.46098232, -84.31275372, -0.375
38.18146839, -122.25174072, -0.25
29.98818401, -94.01226382, -0.25
47.79786807, -122.36974679, 0.0
42.0611612, -87.8625809, 0.0
41.52790206, -83.64481604, 0.0
34.2123158, -118.38972018, 1.4375
33.7031149, -112.1625766, 0.0
34.11223093, -118.33858967, -0.0625
42.49567806, -90.69504348, -0.75
47.41512508, -122.17937057, -0.25
33.5919971, -117.10230816, -0.375
36.14456236, -115.2395275, 0.0
41.926611, -73.979056, 0.12946428571400004
34.489244, -117.3933427, 0.525
39.81883456, -75.07740391, -0.6625
33.87970987, -117.69719457, 0.5
33.31781826, -112.06227987, 0.28571428571400004
32.10675458, -111.12352529, 0.0
37.38624888, -121.83969243, 0.44642857142899994
39.48473839, -88.15114059, 1.55
37.91865007, -121.70913499, -0.25
38.36524445, -86.09978185, -0.020833333333000026
37.79956253, -122.40142528, -0.725
27.90070152, -97.14350891, 0.375
38.78895552, -90.52147198, 0.4375
30.54722104, -96.30655838, 0.625
39.12453029, -77.5345372, -0.625
38.00102987, -84.40116535, -0.375
27.948752, -82.4669406, 0.25
41.74466019, -111.82363237, 0.0
33.75182939, -82.49850654, 0.0
41.74173357, -87.60282153, 0.229166666667
38.91116683, -84.54625233, -0.9375
34.16056463, -117.98927631, 1.160714285714
29.47499708, -95.81835718, 0.0
36.26382308, -115.20879457, -1.047619047619
40.04751653, -75.16813094, 0.0
33.6019564, -117.12199171, 0.625
46.65963711, -120.53974236, 0.0
29.94246364, -90.12190169, -0.711538461538
37.49459307, -77.01984183, 1.28108974359
40.26423441, -78.83290591, -0.45833333333299997
37.7844576, -122.4047872, 0.4
34.95297098, -80.61240507, 0.875
37.76141151, -122.17249732, -0.25
31.75571767, -106.33845711, -0.625
38.94087702, -92.32138492, 0.0
45.65797223, -122.62156284, 0.0
37.33471246, -121.87729951, 0.071428571429
44.96643126, -93.07374699, 0.0
47.10641879, -122.35878705, 0.25
41.7017388, -83.5733785, 0.75
33.98011849, -118.20875424, 0.666666666667
35.73256108, -97.98182655, -0.5171568627450001
45.55078407, -93.23476915, 0.625
33.94965629, -84.35613435, 0.375
30.25333537, -85.94392698, 0.3125
42.5586672, -70.9430088, -3.270833333333
47.29803656, -122.38824546, 0.0
34.92392445, -82.33976347, 0.0
30.1531542, -96.4057686, -0.25
34.02936998, -118.4984479, 0.0
33.99845642, -81.03096538, -0.5
40.31287018, -111.67509922, 0.0
36.19035989, -119.31449345, 0.0
40.16415742, -75.50847371, 0.3125
36.50994065, -86.88633952, -0.25
33.0532114, -83.94976424, -2.25
33.4146253, -111.92943637, -0.625
37.25564454, -121.01037913, 0.5
42.05322279, -88.12546296, -0.25
32.72538185, -97.43226005, 0.84375
33.62946161, -112.40270035, -0.75
38.57443449, -97.68185755, -0.5
39.64806061, -79.96669032, 0.0
33.99109224, -117.37351636, -0.375
33.22050313, -87.56360268, 2.225961538461
45.49478923, -122.9328817, 0.15625
34.18168943, -118.42219781, -0.375
42.93244627, -78.88278787, 0.0
32.3415601, -86.22556228, -0.5
36.71818667, -119.56240417, -0.759615384615
36.18148938, -115.10076813, 0.461538461538
32.81437663, -109.63008716, -0.25
44.5337533, -87.91311239, 0.0
40.76328149, -73.99032913, 0.0
42.70845307, -83.04114623, 0.0
41.18119764, -73.18119533, 2.4875
38.53361136, -90.31918706, 1.4125
36.34705715, -119.6601186, -0.25
37.57316134, -122.32603176, 0.5
33.95649997, -83.35784406, 0.0
